t=2026-09-04T18:01:48+0530 lvl=info msg="no configuration paths supplied"
t=2026-09-04T18:01:48+0530 lvl=info msg="using configuration at default config path" path=/home/renegader/.config/ngrok/ngrok.yml
t=2026-09-04T18:01:48+0530 lvl=info msg="open config file" path=/home/renegader/.config/ngrok/ngrok.yml err=<nil>
t=2026-09-04T18:01:48+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-09-04T18:01:48+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-09-04T18:01:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-04T18:01:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-04T18:01:49+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8501 url=https://baffling-steering-cosigner.ngrok-free.dev
t=2026-09-04T18:01:52+0530 lvl=info msg=start pg=/api/tunnels id=e04113dea2189f43
t=2026-09-04T18:01:52+0530 lvl=info msg=end pg=/api/tunnels id=e04113dea2189f43 status=200 dur=460.377µs
t=2026-09-04T18:02:05+0530 lvl=info msg="join connections" obj=join id=e65ac443516b l=[::1]:8501 r=[2a09:bac1:3680:128::2a5:7b]:25364
t=2026-09-04T18:45:04+0530 lvl=info msg=start pg=/api/tunnels id=4e51e310bf975a09
t=2026-09-04T18:45:04+0530 lvl=info msg=end pg=/api/tunnels id=4e51e310bf975a09 status=200 dur=10.18215ms
t=2026-09-04T18:48:38+0530 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session clientid=b4d0286984c4a9d1d9abd578c2edd728 obj=csess id=b4fc6693b153
t=2026-09-04T18:48:38+0530 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session id=2b86cecac274 err="session closed" obj=csess
t=2026-09-04T18:48:39+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-09-04T18:48:39+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=860735c35af1 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=8e7cda46484e l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=0f347034789f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=76c5109533c0 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=23deec22e678 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=fc4ff2cbd7ec l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=c7b6d4565099 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=8559e153999d l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=c41f61e9070e l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:32+0530 lvl=info msg="join connections" obj=join id=f18b12105649 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=4cd7edda15f6 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=cbed41ed8959 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=093924d6c8bb l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=a6a317609787 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=f76207e08b07 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=afd046f11359 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=82191ab9ebee l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=8cbcb9e3ea6f l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=dfd30d356c5c l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=dbffa418924c l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=963cbdd8d2ce l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=a169a589d5b7 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=f5aaeab0cbd5 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=59b89565d6cf l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=a9aad9cb6da9 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7061a814ab3c l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=501f0f3e0d3b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=764a1e746003 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=c748be78636b l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7edd8e8f10c7 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=7a24fd360066 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=6dc12fa75bee l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=50322e25b455 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=455c16cbce8c l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=89618ffb8874 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=1f68b270cbcb l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
t=2026-09-04T19:00:33+0530 lvl=info msg="join connections" obj=join id=212073adc7c2 l=[::1]:8501 r=[2a09:bac5:3b1b:7eb::ca:17e]:27900
